WigleWifi-1.4,appRelease=2.25,model=LG-D722,release=5.0.2,device=jagnm,display=LRX22G.A1442060254,board=MSM8226,brand=lge,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
ec:8c:a2:0a:11:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-95,32.1027562066666,35.2088189666667,0,20.7032833099365,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],1970-01-01 02:00:00,6,-95,32.1027562066666,35.2088189666667,0,20.7032833099365,WIFI
ec:8c:a2:0a:11:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-92,32.1029072733333,35.2085865133333,0,20.7032833099365,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],1970-01-01 02:00:00,6,-95,32.1029072733333,35.2085865133333,0,20.7032833099365,WIFI
ec:8c:a2:0a:11:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-89,32.10305834,35.20835406,0,20.7032833099365,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],1970-01-01 02:00:00,6,-85,32.10305834,35.20835406,0,20.7032833099365,WIFI
ec:8c:a2:0a:11:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-89,32.1032471733333,35.2080634933333,0,20.7032833099365,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],1970-01-01 02:00:00,6,-83,32.1032471733333,35.2080634933333,0,20.7032833099365,WIFI
ec:8c:a2:0a:11:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-91,32.1033604733333,35.2078891533333,0,20.7032833099365,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],1970-01-01 02:00:00,6,-87,32.1033604733333,35.2078891533333,0,20.7032833099365,WIFI
ec:8c:a2:0a:11:e8,Ariel_University,[ESS],1970-01-01 02:00:00,1,-84,32.10351154,35.2076567,0,20.7032833099365,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],1970-01-01 02:00:00,6,-77,32.10351154,35.2076567,0,20.7032833099365,WIFI
ec:8c:a2:0a:11:e8,Ariel_University,[ESS],2017-11-02 12:38:42,1,-84,32.10357417,35.20742238,676,49,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-11-02 12:38:42,6,-70,32.10357417,35.20742238,676,49,WIFI
ec:8c:a2:0a:11:98,Ariel_University,[ESS],2017-11-02 12:38:59,11,-83,32.10345136,35.20761392,682,8,WIFI
a0:8c:fd:0a:14:5b,DIRECT-F1-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-02 12:38:59,6,-95,32.10345136,35.20761392,682,8,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-11-02 12:38:59,5,-91,32.10345136,35.20761392,682,8,WIFI
ec:8c:a2:08:90:c8,Ariel_University,[ESS],2017-11-02 12:39:01,11,-83,32.10346646,35.20762103,683,5,WIFI
ec:8c:a2:08:a9:28,Ariel_University,[ESS],2017-11-02 12:39:01,11,-95,32.10346646,35.20762103,683,5,WIFI
c4:12:f5:85:12:7d,Si_2.4G,[WPA2-PSK-CCMP][ESS],2017-11-02 12:40:01,5,-95,32.10342101,35.20854576,687,4,WIFI
00:1a:dd:f5:e2:e5,Afikim_Wifi,[ESS],2017-11-02 12:40:06,9,-95,32.1034108,35.20863,688,4,WIFI
c4:12:f5:85:12:7d,Si_2.4G,[WPA2-PSK-CCMP][ESS],2017-11-02 12:40:09,5,-87,32.10340591,35.20865757,690,5,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],2017-11-02 12:40:09,1,-100,32.10340591,35.20865757,690,5,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],2017-11-02 12:40:13,1,-94,32.10342293,35.20871157,689,4,WIFI
1c:b9:c4:16:13:08,Ariel_University,[ESS],2017-11-02 12:40:31,11,-89,32.10331857,35.20892592,688,9,WIFI
1c:b9:c4:12:7c:c8,Ariel_University,[ESS],2017-11-02 12:40:31,11,-71,32.10331857,35.20892592,688,9,WIFI
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-11-02 12:40:31,1,-94,32.10331857,35.20892592,688,9,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],2017-11-02 12:40:31,6,-89,32.10331857,35.20892592,688,9,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS],2017-11-02 12:40:31,1,-67,32.10331857,35.20892592,688,9,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],2017-11-02 12:40:31,6,-69,32.10331857,35.20892592,688,9,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],2017-11-02 12:40:31,11,-90,32.10331857,35.20892592,688,9,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],2017-11-02 12:40:31,6,-62,32.10331857,35.20892592,688,9,WIFI
1c:b9:c4:16:f4:28,Ariel_University,[ESS],2017-11-02 12:40:31,11,-93,32.10331857,35.20892592,688,9,WIFI
c4:12:f5:f5:43:b2,Elay,[WPA2-PSK-CCMP][ESS],2017-11-02 20:03:00,10,-94,32.10371276,35.20553737,658,14,WIFI
24:c9:a1:33:3b:68,Ariel_University,[ESS],2017-11-02 20:03:00,6,-82,32.10371276,35.20553737,658,14,WIFI
24:c9:a1:36:5d:28,Ariel_University,[ESS],2017-11-02 20:03:00,6,-56,32.10371276,35.20553737,658,14,WIFI
24:c9:a1:35:aa:88,Ariel_University,[ESS],2017-11-02 20:03:00,1,-94,32.10371276,35.20553737,658,14,WIFI
24:c9:a1:36:59:e8,Ariel_University,[ESS],2017-11-02 20:03:00,11,-55,32.10371276,35.20553737,658,14,WIFI
8c:0c:90:2f:36:a8,Ariel_University,[ESS],2017-11-02 20:03:00,6,-73,32.10371276,35.20553737,658,14,WIFI
